,file1.py:7,file1.py:18
test_file1.py::test_add,0,0
test_file1.py::test_add_subtract_combo,1,0
test_file1.py::test_all_operations,1,1
test_file1.py::test_divide,0,1
test_file1.py::test_multiply,0,0
test_file1.py::test_multiply_divide_combo,0,1
test_file1.py::test_subtract,1,0
test_file2.py::test_cube,0,0
test_file2.py::test_is_even,0,0
test_file2.py::test_is_odd,0,0
test_file2.py::test_square,0,0
test_file3.py::test_factorial,0,0
test_file3.py::test_farewell,0,0
test_file3.py::test_greet,0,0
test_file4.py::test_count_vowels,0,0
test_file4.py::test_is_palindrome,0,0
test_file4.py::test_reverse_words,0,0
